date,open,high,low,close,volume
17-03-1980,0.1943,0.1974,0.1943,0.1943,10924800
18-03-1980,0.1943,0.1959,0.1928,0.1928,17068800
19-03-1980,0.1974,0.2005,0.1974,0.1974,18508800
20-03-1980,0.1974,0.1997,0.1966,0.1966,11174400
21-03-1980,0.1928,0.1928,0.1896,0.1896,12172800
24-03-1980,0.1889,0.1889,0.1858,0.1858,8966400
25-03-1980,0.1865,0.1896,0.1865,0.1865,11347200
26-03-1980,0.1865,0.1881,0.185,0.185,16262400
27-03-1980,0.1819,0.1819,0.1788,0.1788,26918400
28-03-1980,0.1858,0.1889,0.1858,0.1858,20102400
31-03-1980,0.192,0.1951,0.192,0.192,9004800
01-04-1980,0.1928,0.1959,0.1928,0.1928,8179200
02-04-1980,0.1943,0.1974,0.1943,0.1943,12556800
03-04-1980,0.1935,0.1935,0.1904,0.1904,6988800
07-04-1980,0.1889,0.1889,0.1858,0.1858,13478400
08-04-1980,0.1865,0.1896,0.1865,0.1865,29184000
09-04-1980,0.1858,0.1858,0.1827,0.1827,11558400
10-04-1980,0.1827,0.185,0.1819,0.1819,14784000
11-04-1980,0.1819,0.185,0.1819,0.1819,9523200
14-04-1980,0.1834,0.1865,0.1834,0.1834,8025600
15-04-1980,0.1834,0.1842,0.1811,0.1811,10598400
16-04-1980,0.1772,0.1772,0.1741,0.1741,10752000
17-04-1980,0.1741,0.1741,0.171,0.171,17702400
18-04-1980,0.1733,0.1764,0.1733,0.1733,18739200
21-04-1980,0.1733,0.1749,0.1718,0.1718,9043200
22-04-1980,0.1795,0.1827,0.1795,0.1795,20428800
23-04-1980,0.1904,0.1935,0.1904,0.1904,14822400
24-04-1980,0.1912,0.1943,0.1912,0.1912,8832000
25-04-1980,0.1912,0.1912,0.1881,0.1881,7104000
28-04-1980,0.1881,0.1896,0.1865,0.1865,6931200
29-04-1980,0.1881,0.1912,0.1881,0.1881,6297600
30-04-1980,0.1904,0.1935,0.1904,0.1904,7065600
01-05-1980,0.1912,0.1943,0.1912,0.1912,7008000
02-05-1980,0.1943,0.1974,0.1943,0.1943,5510400
05-05-1980,0.1966,0.1997,0.1966,0.1966,3513600
06-05-1980,0.1966,0.199,0.1959,0.1959,6988800
07-05-1980,0.1959,0.199,0.1959,0.1959,6393600
08-05-1980,0.1959,0.1966,0.1935,0.1935,7468800
09-05-1980,0.1959,0.199,0.1959,0.1959,16684800
12-05-1980,0.1959,0.1982,0.1951,0.1951,8582400
13-05-1980,0.199,0.2021,0.199,0.199,7372800
14-05-1980,0.2021,0.2052,0.2021,0.2021,4742400
15-05-1980,0.2036,0.2067,0.2036,0.2036,8102400
16-05-1980,0.206,0.2091,0.206,0.206,4838400
19-05-1980,0.2067,0.2099,0.2067,0.2067,8640000
20-05-1980,0.2067,0.2075,0.2044,0.2044,21811200
21-05-1980,0.2029,0.2029,0.1997,0.1997,10540800
22-05-1980,0.1997,0.2005,0.1974,0.1974,5318400
23-05-1980,0.2044,0.2075,0.2044,0.2044,29779200
27-05-1980,0.2044,0.2067,0.2036,0.2036,8332800
28-05-1980,0.2083,0.2114,0.2083,0.2083,6700800
29-05-1980,0.2083,0.2114,0.2083,0.2083,7660800
30-05-1980,0.2114,0.2145,0.2114,0.2114,5721600
02-06-1980,0.2122,0.2153,0.2122,0.2122,6355200
03-06-1980,0.2099,0.2099,0.2067,0.2067,15244800
04-06-1980,0.2099,0.213,0.2099,0.2099,7680000
05-06-1980,0.2099,0.213,0.2099,0.2099,6470400
06-06-1980,0.2099,0.2114,0.2083,0.2083,28723200
09-06-1980,0.2083,0.2099,0.2067,0.2067,7545600
10-06-1980,0.2091,0.2122,0.2091,0.2091,17280000
11-06-1980,0.2114,0.2145,0.2114,0.2114,3206400
12-06-1980,0.2114,0.2114,0.2083,0.2083,10809600
13-06-1980,0.2083,0.2114,0.2083,0.2083,3590400
16-06-1980,0.2083,0.2114,0.2083,0.2083,7987200
17-06-1980,0.2083,0.2106,0.2075,0.2075,12864000
18-06-1980,0.2075,0.2091,0.206,0.206,8064000
19-06-1980,0.2052,0.2052,0.2021,0.2021,13689600
20-06-1980,0.2029,0.206,0.2029,0.2029,7027200
