date,open,high,low,close,volume
02-01-1970,0.4158,0.417,0.4055,0.4055,1195200
05-01-1970,0.4055,0.4066,0.3951,0.3956,964800
06-01-1970,0.3956,0.4031,0.3939,0.4031,1036800
07-01-1970,0.4031,0.4043,0.4003,0.4014,331200
08-01-1970,0.4014,0.4078,0.4014,0.4043,460800
09-01-1970,0.4066,0.4124,0.4066,0.4066,748800
12-01-1970,0.4066,0.4066,0.3997,0.3997,864000
13-01-1970,0.4008,0.4066,0.4008,0.4031,849600
14-01-1970,0.4031,0.4101,0.4031,0.4089,619200
15-01-1970,0.4089,0.4101,0.4083,0.4095,1209600
16-01-1970,0.4095,0.4095,0.4078,0.4089,734400
19-01-1970,0.4083,0.4083,0.4031,0.4037,1180800
20-01-1970,0.4037,0.4037,0.3968,0.4037,763200
21-01-1970,0.4037,0.4055,0.4026,0.4055,878400
22-01-1970,0.4055,0.4066,0.4031,0.4066,360000
23-01-1970,0.4066,0.4078,0.4037,0.4043,979200
26-01-1970,0.4043,0.4043,0.402,0.4043,979200
27-01-1970,0.4026,0.4026,0.3997,0.3997,532800
28-01-1970,0.3962,0.3962,0.3777,0.3777,1497600
29-01-1970,0.3766,0.3766,0.3569,0.3696,3585600
30-01-1970,0.365,0.365,0.3581,0.365,2808000
02-02-1970,0.3691,0.3835,0.3691,0.3835,1612800
03-02-1970,0.3835,0.3997,0.3812,0.3812,2692800
04-02-1970,0.3772,0.3772,0.3598,0.3644,2793600
05-02-1970,0.3644,0.3812,0.3633,0.3812,1886400
06-02-1970,0.3789,0.3789,0.3743,0.3766,705600
09-02-1970,0.3858,0.3962,0.3858,0.3933,1684800
10-02-1970,0.3997,0.4043,0.3997,0.4008,2505600
11-02-1970,0.3997,0.3997,0.3956,0.3974,2232000
12-02-1970,0.3974,0.3974,0.3803,0.3829,3369600
13-02-1970,0.3815,0.3815,0.3696,0.3743,1540800
16-02-1970,0.375,0.3767,0.3741,0.3741,820800
17-02-1970,0.3741,0.3744,0.3634,0.3669,1915200
18-02-1970,0.368,0.3709,0.368,0.3698,878400
19-02-1970,0.3698,0.3698,0.3663,0.3671,576000
20-02-1970,0.3663,0.3663,0.3588,0.3602,1396800
24-02-1970,0.3602,0.3616,0.3501,0.3524,3744000
25-02-1970,0.3524,0.3657,0.3507,0.3657,2822400
26-02-1970,0.3622,0.3622,0.3547,0.3588,1353600
27-02-1970,0.3611,0.3703,0.3611,0.3689,1627200
02-03-1970,0.3689,0.3744,0.3657,0.3657,1051200
03-03-1970,0.3657,0.3663,0.3599,0.3663,1468800
04-03-1970,0.3663,0.3726,0.3663,0.3698,734400
05-03-1970,0.3698,0.3709,0.368,0.3692,892800
06-03-1970,0.3692,0.3692,0.3628,0.364,907200
09-03-1970,0.3628,0.3628,0.3599,0.3616,273600
10-03-1970,0.3599,0.3599,0.3556,0.3588,1353600
11-03-1970,0.3588,0.3634,0.3576,0.3616,432000
12-03-1970,0.362,0.3645,0.362,0.3628,388800
13-03-1970,0.3611,0.3611,0.3588,0.3588,1339200
16-03-1970,0.3588,0.3588,0.3524,0.353,806400
17-03-1970,0.353,0.3541,0.3512,0.3512,1267200
18-03-1970,0.3518,0.3547,0.3518,0.3547,748800
19-03-1970,0.3559,0.3576,0.3559,0.3559,1123200
20-03-1970,0.3559,0.3559,0.3535,0.3559,518400
23-03-1970,0.3553,0.3553,0.3518,0.353,216000
24-03-1970,0.3527,0.3527,0.3472,0.3509,1670400
25-03-1970,0.3541,0.3669,0.3541,0.3622,2275200
26-03-1970,0.3622,0.3645,0.3611,0.3622,936000
30-03-1970,0.3622,0.364,0.3599,0.3605,1368000
31-03-1970,0.3588,0.3588,0.3553,0.3576,676800
01-04-1970,0.3564,0.3564,0.3541,0.355,820800
02-04-1970,0.353,0.353,0.3483,0.3492,792000
03-04-1970,0.3492,0.3512,0.3492,0.3507,1008000
06-04-1970,0.3507,0.3524,0.3408,0.3414,2275200
07-04-1970,0.3408,0.3408,0.331,0.3316,1526400
08-04-1970,0.3316,0.3321,0.3292,0.331,734400
09-04-1970,0.331,0.3391,0.331,0.3385,820800
10-04-1970,0.3385,0.3437,0.337,0.3379,3312000
13-04-1970,0.3379,0.3379,0.3333,0.3356,878400
14-04-1970,0.3356,0.3414,0.331,0.3408,835200
15-04-1970,0.3408,0.3466,0.3402,0.3426,2217600
16-04-1970,0.3426,0.3426,0.3385,0.3388,1252800
