date,open,high,low,close,volume
02-01-1962,0.0569,0.0585,0.0569,0.0569,6451200
03-01-1962,0.0561,0.0561,0.0548,0.0556,12595200
04-01-1962,0.0558,0.0565,0.0558,0.0561,6758400
05-01-1962,0.0561,0.0568,0.0547,0.0548,11366400
08-01-1962,0.0544,0.0544,0.0532,0.0542,16281600
09-01-1962,0.0542,0.0555,0.0538,0.0552,7680000
10-01-1962,0.0552,0.0563,0.0547,0.0555,12902400
11-01-1962,0.0555,0.0561,0.0552,0.0561,4915200
12-01-1962,0.0561,0.0561,0.0551,0.0556,7065600
15-01-1962,0.0555,0.0555,0.0549,0.0551,4915200
16-01-1962,0.0549,0.0549,0.054,0.0541,8908800
17-01-1962,0.0541,0.0541,0.0524,0.0524,12595200
18-01-1962,0.0524,0.0527,0.0511,0.0513,21196800
19-01-1962,0.0518,0.053,0.0518,0.053,11673600
22-01-1962,0.053,0.0535,0.0524,0.0534,8601600
23-01-1962,0.0532,0.0532,0.0523,0.0523,6144000
24-01-1962,0.0523,0.0524,0.0507,0.0517,20889600
25-01-1962,0.0517,0.0525,0.0513,0.0513,12595200
26-01-1962,0.0513,0.0513,0.0504,0.0507,12595200
29-01-1962,0.0507,0.0509,0.0506,0.0507,2457600
30-01-1962,0.0507,0.0511,0.0505,0.0505,12595200
31-01-1962,0.0507,0.0525,0.0507,0.0525,14131200
01-02-1962,0.053,0.0538,0.053,0.053,11366400
02-02-1962,0.053,0.0535,0.0521,0.0535,9216000
05-02-1962,0.0535,0.0535,0.0531,0.0535,3072000
06-02-1962,0.0535,0.0535,0.0528,0.0528,5529600
07-02-1962,0.0528,0.0531,0.0528,0.0531,1536000
08-02-1962,0.0531,0.0535,0.0525,0.0532,6144000
09-02-1962,0.0532,0.0535,0.053,0.0535,5836800
12-02-1962,0.0535,0.0537,0.0531,0.0531,2457600
13-02-1962,0.0531,0.0534,0.0531,0.0531,5222400
14-02-1962,0.0531,0.0531,0.0521,0.0521,5222400
15-02-1962,0.0521,0.0525,0.0518,0.0518,5222400
16-02-1962,0.0518,0.0528,0.0518,0.0518,9523200
19-02-1962,0.0523,0.0527,0.0523,0.0527,2764800
20-02-1962,0.0527,0.0528,0.0523,0.0524,3686400
21-02-1962,0.0524,0.0528,0.0521,0.0521,5529600
23-02-1962,0.0521,0.0528,0.0516,0.0516,8294400
26-02-1962,0.0516,0.0528,0.0513,0.0524,6144000
27-02-1962,0.0524,0.0528,0.0524,0.0527,3686400
28-02-1962,0.0525,0.0525,0.0516,0.0517,5222400
01-03-1962,0.0517,0.0517,0.0507,0.0514,156364800
02-03-1962,0.0516,0.052,0.0516,0.052,6451200
05-03-1962,0.052,0.052,0.0513,0.0513,5222400
06-03-1962,0.0518,0.0524,0.0518,0.0524,7065600
07-03-1962,0.0524,0.0524,0.0517,0.0517,5529600
08-03-1962,0.0517,0.0523,0.0516,0.0518,7065600
09-03-1962,0.0518,0.0521,0.0509,0.0513,8908800
12-03-1962,0.0518,0.0524,0.0518,0.0524,7987200
13-03-1962,0.0525,0.0529,0.0525,0.0529,10752000
14-03-1962,0.0529,0.0532,0.0527,0.053,13516800
15-03-1962,0.053,0.0532,0.0527,0.0527,7065600
16-03-1962,0.0527,0.0529,0.0527,0.0527,6144000
19-03-1962,0.0527,0.0533,0.0527,0.053,7372800
20-03-1962,0.053,0.0536,0.053,0.0536,10444800
21-03-1962,0.0539,0.0546,0.0539,0.0543,17510400
22-03-1962,0.0544,0.0551,0.0544,0.0548,10752000
23-03-1962,0.0553,0.0563,0.0553,0.0558,11980800
26-03-1962,0.0558,0.0563,0.055,0.0551,11366400
27-03-1962,0.0548,0.0548,0.0544,0.0547,6758400
28-03-1962,0.0547,0.0547,0.0543,0.0543,3686400
29-03-1962,0.0543,0.055,0.0541,0.0544,8294400
30-03-1962,0.0544,0.0544,0.0536,0.0536,11059200
02-04-1962,0.0536,0.0546,0.0533,0.0543,9216000
03-04-1962,0.0543,0.0546,0.0522,0.0526,9830400
04-04-1962,0.053,0.054,0.053,0.0532,11673600
05-04-1962,0.0532,0.0538,0.053,0.0533,8294400
06-04-1962,0.0536,0.0544,0.0536,0.0541,5836800
09-04-1962,0.0543,0.0547,0.0543,0.0543,4300800
