date,open,high,low,close,volume
03-05-1973,0.6484,0.6665,0.6362,0.6665,2496
04-05-1973,0.6606,0.6606,0.6484,0.6484,204
07-05-1973,0.6484,0.6484,0.6484,0.6484,96
08-05-1973,0.6484,0.6484,0.6303,0.6303,2700
09-05-1973,0.6362,0.6484,0.6362,0.6484,204
10-05-1973,0.6362,0.6362,0.6362,0.6362,96
11-05-1973,0.6362,0.6484,0.6303,0.6484,396
14-05-1973,0.6484,0.6665,0.6362,0.6362,4896
15-05-1973,0.6303,0.6303,0.6176,0.6176,1800
16-05-1973,0.6176,0.6303,0.6176,0.6176,396
17-05-1973,0.6176,0.6176,0.6176,0.6176,504
18-05-1973,0.6176,0.6176,0.6117,0.6176,1704
21-05-1973,0.6176,0.6303,0.5931,0.5995,1704
22-05-1973,0.5995,0.6117,0.5872,0.5872,1104
23-05-1973,0.5872,0.5931,0.5814,0.5814,2604
24-05-1973,0.5814,0.5931,0.5814,0.5872,1704
25-05-1973,0.5872,0.5931,0.5872,0.5931,1404
29-05-1973,0.5931,0.5995,0.5931,0.5931,2100
30-05-1973,0.5931,0.6117,0.5931,0.6117,2004
31-05-1973,0.6176,0.6176,0.6176,0.6176,96
01-06-1973,0.6117,0.6117,0.5931,0.5931,1104
04-06-1973,0.5931,0.5931,0.5872,0.5872,804
05-06-1973,0.5872,0.6117,0.5686,0.6117,1404
06-06-1973,0.6303,0.6303,0.6303,0.6303,996
07-06-1973,0.6117,0.6117,0.6117,0.6117,600
08-06-1973,0.6176,0.6176,0.6176,0.6176,96
11-06-1973,0.6303,0.6484,0.6303,0.6484,2400
12-06-1973,0.6362,0.6362,0.6303,0.6362,2004
13-06-1973,0.6303,0.6303,0.6303,0.6303,996
14-06-1973,0.6176,0.6176,0.6117,0.6117,300
15-06-1973,0.6117,0.6117,0.6117,0.6117,300
18-06-1973,0.5995,0.5995,0.5814,0.5814,2604
19-06-1973,0.5814,0.5814,0.5383,0.5383,10500
20-06-1973,0.5505,0.5686,0.5505,0.5686,504
21-06-1973,0.5686,0.5814,0.5569,0.5569,804
22-06-1973,0.5569,0.5814,0.5569,0.5686,1296
25-06-1973,0.5569,0.5569,0.5383,0.5569,1896
26-06-1973,0.5569,0.5569,0.5569,0.5569,300
27-06-1973,0.5569,0.5569,0.5569,0.5569,1200
28-06-1973,0.5505,0.5505,0.5383,0.5383,4296
29-06-1973,0.5383,0.5569,0.5383,0.5569,996
02-07-1973,0.5505,0.5505,0.5138,0.5138,2796
03-07-1973,0.5197,0.5324,0.5197,0.5324,504
05-07-1973,0.5324,0.5324,0.5324,0.5324,1200
06-07-1973,0.5383,0.5383,0.5383,0.5383,996
09-07-1973,0.5383,0.5569,0.5383,0.5569,804
10-07-1973,0.5569,0.5686,0.5505,0.5505,900
11-07-1973,0.5383,0.5383,0.5324,0.5383,1296
12-07-1973,0.5383,0.5569,0.5383,0.5569,2304
13-07-1973,0.5569,0.5569,0.5569,0.5569,0
16-07-1973,0.5569,0.5569,0.5505,0.5569,900
17-07-1973,0.5686,0.5814,0.5686,0.5686,996
18-07-1973,0.5686,0.5872,0.5686,0.5686,2400
19-07-1973,0.5872,0.6665,0.5872,0.6484,6204
20-07-1973,0.6484,0.6484,0.6303,0.6484,4596
23-07-1973,0.6484,0.6665,0.6362,0.6362,2400
24-07-1973,0.6362,0.6484,0.6176,0.6176,696
25-07-1973,0.6303,0.6484,0.6303,0.6303,696
26-07-1973,0.6303,0.6665,0.6117,0.6665,2604
27-07-1973,0.6665,0.6792,0.6665,0.6792,804
30-07-1973,0.6665,0.6665,0.6484,0.6606,2304
31-07-1973,0.6606,0.6665,0.6303,0.6303,2304
01-08-1973,0.6303,0.6303,0.6303,0.6303,300
02-08-1973,0.6303,0.6303,0.6303,0.6303,300
03-08-1973,0.6303,0.6303,0.6176,0.6303,204
06-08-1973,0.6303,0.6484,0.6117,0.6303,3300
07-08-1973,0.6303,0.6484,0.6176,0.6484,600
08-08-1973,0.6362,0.6362,0.6303,0.6303,204
09-08-1973,0.6303,0.6303,0.6303,0.6303,0
10-08-1973,0.6303,0.6484,0.6303,0.6303,1500
13-08-1973,0.6303,0.6303,0.6303,0.6303,996
14-08-1973,0.6176,0.6176,0.6176,0.6176,396
15-08-1973,0.6176,0.6303,0.6176,0.6303,900
16-08-1973,0.6303,0.6303,0.6117,0.6303,1500
17-08-1973,0.6176,0.6176,0.6117,0.6117,1200
20-08-1973,0.6303,0.6303,0.6303,0.6303,96
21-08-1973,0.6117,0.6117,0.6117,0.6117,300
22-08-1973,0.6117,0.6117,0.5814,0.5814,2004
23-08-1973,0.5872,0.5872,0.5872,0.5872,300
24-08-1973,0.5872,0.5931,0.5814,0.5814,1596
27-08-1973,0.5814,0.5814,0.5686,0.5686,204
28-08-1973,0.5686,0.5686,0.5686,0.5686,0
29-08-1973,0.5686,0.5686,0.5569,0.5686,2004
30-08-1973,0.5686,0.5814,0.5686,0.5814,204
31-08-1973,0.5814,0.5931,0.5814,0.5931,504
04-09-1973,0.5931,0.5995,0.5931,0.5931,204
05-09-1973,0.6117,0.6176,0.6117,0.6117,996
06-09-1973,0.6117,0.6176,0.5995,0.5995,2100
07-09-1973,0.5995,0.5995,0.5931,0.5931,1896
10-09-1973,0.5931,0.5931,0.5931,0.5931,1104
11-09-1973,0.5931,0.5995,0.5931,0.5995,1200
12-09-1973,0.5931,0.5931,0.5931,0.5931,204
13-09-1973,0.5931,0.6117,0.5931,0.6117,996
