date,open,high,low,close,volume
25-08-1972,0.0398,0.0406,0.0398,0.0404,2508800
28-08-1972,0.0404,0.0407,0.0403,0.0403,972800
29-08-1972,0.0401,0.0401,0.0398,0.0398,1945600
30-08-1972,0.0398,0.0398,0.0395,0.0398,409600
31-08-1972,0.0395,0.0395,0.0392,0.0392,870400
01-09-1972,0.0393,0.0395,0.0393,0.0395,256000
05-09-1972,0.0395,0.0395,0.0392,0.0392,563200
06-09-1972,0.0395,0.0395,0.0395,0.0395,256000
07-09-1972,0.0395,0.0395,0.0393,0.0393,1177600
08-09-1972,0.0392,0.0392,0.039,0.039,665600
11-09-1972,0.0393,0.0393,0.0393,0.0393,921600
12-09-1972,0.0393,0.0393,0.0393,0.0393,614400
13-09-1972,0.0393,0.0393,0.0393,0.0393,153600
14-09-1972,0.0393,0.0396,0.0392,0.0396,1280000
15-09-1972,0.0395,0.0395,0.0393,0.0393,512000
18-09-1972,0.0395,0.0396,0.0395,0.0395,1075200
19-09-1972,0.0393,0.0393,0.039,0.0392,3123200
20-09-1972,0.0389,0.0389,0.0389,0.0389,51200
21-09-1972,0.0386,0.0386,0.0377,0.0377,1433600
22-09-1972,0.0375,0.0375,0.0363,0.0363,870400
25-09-1972,0.0361,0.0361,0.0352,0.0352,972800
26-09-1972,0.0352,0.0352,0.0349,0.0351,716800
27-09-1972,0.0348,0.0348,0.0343,0.0343,665600
28-09-1972,0.0349,0.0355,0.0349,0.0352,1433600
29-09-1972,0.0355,0.0357,0.0355,0.0357,256000
02-10-1972,0.036,0.0373,0.036,0.0373,1638400
03-10-1972,0.0377,0.038,0.0377,0.038,512000
04-10-1972,0.0381,0.039,0.0381,0.0387,1536000
05-10-1972,0.0385,0.0385,0.0377,0.0377,1382400
06-10-1972,0.0375,0.0375,0.0361,0.0361,9779200
09-10-1972,0.0364,0.0367,0.0364,0.0367,1280000
10-10-1972,0.0367,0.0367,0.0367,0.0367,0
11-10-1972,0.0367,0.0369,0.0364,0.0369,460800
12-10-1972,0.0367,0.0367,0.0366,0.0366,358400
13-10-1972,0.0366,0.0366,0.0366,0.0366,51200
16-10-1972,0.0364,0.0364,0.0357,0.0357,665600
17-10-1972,0.0357,0.0364,0.0354,0.0363,2457600
18-10-1972,0.0366,0.0392,0.0366,0.0389,7782400
19-10-1972,0.0389,0.0392,0.0389,0.039,10598400
20-10-1972,0.0387,0.0387,0.0387,0.0387,51200
23-10-1972,0.0387,0.0387,0.0386,0.0386,460800
24-10-1972,0.0387,0.0387,0.0387,0.0387,102400
25-10-1972,0.0384,0.0384,0.038,0.038,1228800
26-10-1972,0.0383,0.0383,0.0383,0.0383,51200
27-10-1972,0.0384,0.0384,0.0384,0.0384,204800
30-10-1972,0.0384,0.0386,0.0381,0.0383,1331200
31-10-1972,0.0384,0.0395,0.0384,0.0395,716800
01-11-1972,0.0399,0.0413,0.0399,0.0413,2252800
02-11-1972,0.0416,0.0421,0.0416,0.0416,716800
03-11-1972,0.0415,0.0415,0.0413,0.0415,1433600
06-11-1972,0.0415,0.0415,0.0415,0.0415,153600
08-11-1972,0.0416,0.0421,0.0416,0.0419,716800
09-11-1972,0.0419,0.0419,0.0416,0.0419,819200
10-11-1972,0.0419,0.0419,0.0419,0.0419,0
13-11-1972,0.0418,0.0418,0.0415,0.0418,409600
14-11-1972,0.0416,0.0416,0.0413,0.0413,153600
15-11-1972,0.0413,0.0415,0.041,0.0412,563200
16-11-1972,0.0412,0.0413,0.041,0.0413,614400
17-11-1972,0.0413,0.0416,0.0412,0.0412,1382400
20-11-1972,0.0412,0.0413,0.041,0.041,153600
21-11-1972,0.041,0.0419,0.0407,0.0419,563200
22-11-1972,0.0419,0.0424,0.0419,0.0419,460800
24-11-1972,0.0419,0.0421,0.0418,0.0418,358400
27-11-1972,0.0418,0.0429,0.0416,0.0429,6246400
28-11-1972,0.0426,0.0426,0.0416,0.0416,3481600
29-11-1972,0.0413,0.0413,0.0398,0.0398,3584000
30-11-1972,0.0395,0.0395,0.0393,0.0395,204800
01-12-1972,0.0396,0.0401,0.0396,0.0401,1484800
04-12-1972,0.0404,0.0416,0.0404,0.0416,972800
05-12-1972,0.0422,0.0422,0.0422,0.0422,1331200
06-12-1972,0.0422,0.0422,0.0421,0.0422,409600
07-12-1972,0.0422,0.0422,0.0419,0.0419,665600
08-12-1972,0.0419,0.0419,0.0413,0.0413,9779200
11-12-1972,0.0416,0.0418,0.0416,0.0418,358400
12-12-1972,0.0415,0.0415,0.0413,0.0413,204800
13-12-1972,0.0415,0.0416,0.0415,0.0416,102400
14-12-1972,0.0418,0.0419,0.0418,0.0418,1638400
15-12-1972,0.0419,0.0422,0.0419,0.0421,1536000
18-12-1972,0.0421,0.0421,0.0418,0.0419,1536000
19-12-1972,0.0419,0.0421,0.0418,0.0421,153600
20-12-1972,0.0421,0.0422,0.0395,0.0422,204800
21-12-1972,0.0421,0.0421,0.0418,0.0419,9062400
22-12-1972,0.0419,0.0422,0.0418,0.0422,1228800
26-12-1972,0.0422,0.0427,0.0416,0.0416,614400
27-12-1972,0.0416,0.0419,0.0413,0.0419,768000
29-12-1972,0.0419,0.0422,0.0416,0.0422,307200
02-01-1973,0.0424,0.0427,0.0424,0.0424,460800
03-01-1973,0.0422,0.0422,0.0421,0.0422,768000
04-01-1973,0.0422,0.0427,0.0421,0.0421,1740800
05-01-1973,0.0421,0.0421,0.0418,0.0419,1587200
08-01-1973,0.0419,0.0419,0.0416,0.0418,665600
09-01-1973,0.0416,0.0416,0.0407,0.041,3584000
10-01-1973,0.041,0.041,0.0399,0.0399,1280000
11-01-1973,0.0404,0.041,0.0404,0.0409,1331200
12-01-1973,0.0409,0.0413,0.0407,0.0407,1945600
15-01-1973,0.0404,0.0404,0.0403,0.0403,358400
16-01-1973,0.0403,0.041,0.0401,0.041,3481600
17-01-1973,0.041,0.0415,0.0409,0.0412,665600
18-01-1973,0.0412,0.0412,0.0412,0.0412,0
19-01-1973,0.0409,0.0409,0.0404,0.0404,614400
22-01-1973,0.0403,0.0403,0.0399,0.0399,307200
23-01-1973,0.0399,0.0401,0.0386,0.0386,1536000
24-01-1973,0.0389,0.0396,0.0389,0.0392,1587200
26-01-1973,0.0389,0.0389,0.0383,0.0389,1126400
29-01-1973,0.0386,0.0386,0.0375,0.0375,972800
30-01-1973,0.0372,0.0372,0.0367,0.0369,1280000
31-01-1973,0.0367,0.0367,0.0363,0.0363,512000
01-02-1973,0.0366,0.0375,0.0366,0.037,3123200
02-02-1973,0.037,0.0375,0.0369,0.037,2560000
05-02-1973,0.037,0.037,0.037,0.037,102400
06-02-1973,0.037,0.0372,0.0369,0.0369,1177600
07-02-1973,0.037,0.0373,0.037,0.0373,3328000
08-02-1973,0.0373,0.0373,0.0367,0.0367,870400
09-02-1973,0.0367,0.0367,0.0364,0.0367,1024000
12-02-1973,0.0367,0.038,0.0367,0.038,2252800
13-02-1973,0.038,0.0381,0.0378,0.038,819200
14-02-1973,0.038,0.038,0.0377,0.038,1024000
15-02-1973,0.0383,0.0386,0.0383,0.0386,972800
16-02-1973,0.0392,0.0398,0.0392,0.0395,1331200
20-02-1973,0.0398,0.0401,0.0398,0.0401,5836800
21-02-1973,0.0401,0.0401,0.0399,0.0399,1331200
22-02-1973,0.0399,0.0399,0.0389,0.0389,13619200
23-02-1973,0.0389,0.0392,0.0387,0.039,2150400
26-02-1973,0.0389,0.0389,0.0387,0.0387,819200
27-02-1973,0.0387,0.0387,0.0384,0.0384,1433600
28-02-1973,0.038,0.038,0.0378,0.038,2560000
01-03-1973,0.0377,0.0377,0.0377,0.0377,102400
02-03-1973,0.0375,0.0375,0.0372,0.0373,2611200
05-03-1973,0.0373,0.0373,0.0364,0.0364,8345600
06-03-1973,0.0364,0.0366,0.0346,0.0348,5990400
07-03-1973,0.0343,0.0343,0.0321,0.0338,5120000
08-03-1973,0.0346,0.0364,0.0346,0.0355,3276800
09-03-1973,0.0355,0.0355,0.0346,0.0351,2560000
12-03-1973,0.0352,0.0355,0.0352,0.0352,563200
